Title Number,Tenure,Property Address,District,County,Region,Postcode,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator
"37930","Leasehold","4 Morat Street, London (SW9 0RP)","LAMBETH","GREATER LONDON","GREATER LONDON","SW9 0RP","N","","LONDON & QUADRANT HOUSING TRUST","30441R","Registered Society (Corporate Body)","29-35 West Ham Lane, London E15 4PH","","","","","","","","","","","","","","","","","","","","","19-02-1988","N"
"37932","Leasehold","8 Morat Street, London (SW9 0RP)","LAMBETH","GREATER LONDON","GREATER LONDON","SW9 0RP","N","","LONDON & QUADRANT HOUSING TRUST","30441R","Registered Society (Corporate Body)","29-35 West Ham Lane, London E15 4PH","","","","","","","","","","","","","","","","","","","","","19-02-1988","N"
"37933","Leasehold","10 Morat Street, London (SW9 0RP)","LAMBETH","GREATER LONDON","GREATER LONDON","SW9 0RP","N","","LONDON & QUADRANT HOUSING TRUST","30441R","Registered Society (Corporate Body)","29-35 West Ham Lane, London E15 4PH","","","","","","","","","","","","","","","","","","","","","19-02-1988","N"
"38250","Freehold","114 to 190 (even) York Road","WANDSWORTH","GREATER LONDON","GREATER LONDON","","N","","TRANSPORT FOR LONDON","","Corporate Body","Transport for London, 55 Broadway, London SW1H 0BD","","","","","","","","","","","","","","","","","","","","","21-11-2017","N"
"38545","Leasehold","155 Hamilton Road, (SE27 9SE)","LAMBETH","GREATER LONDON","GREATER LONDON","SE27 9SE","N","53000","LONDON & QUADRANT HOUSING TRUST","30441R","Registered Society (Corporate Body)","29-35 West Ham Lane, London E15 4PH","","","","","","","","","","","","","","","","","","","","","28-01-2008","N"
"38573","Freehold","47 Lucien Road, London (SW17 8HS)","WANDSWORTH","GREATER LONDON","GREATER LONDON","SW17 8HS","N","","47 LUCIEN MANAGEMENT LIMITED","09048215","Limited Company or Public Limited Company","47a Lucien Road, London SW17 8HS","","","","","","","","","","","","","","","","","","","","","08-10-2014","N"
"39064","Freehold","207 Walworth Road, (SE17 1RL)","SOUTHWARK","GREATER LONDON","GREATER LONDON","SE17 1RL","N","","NEXT IN LINE LIMITED","02658058","Limited Company or Public Limited Company","207 Walworth Road, London SE17 1RL","","","","","","","","","","","","","","","","","","","","","02-12-1992","N"
"39143","Freehold","54 Choumert Road, Camberwell, London (SE15 4AX)","SOUTHWARK","GREATER LONDON","GREATER LONDON","SE15 4AX","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK","","Local Authority","160 Tooley Street, London SE1 2QH","PO Box 64529, London SE1P 5LX","","","","","","","","","","","","","","","","","","","","10-03-2005","N"
"39255","Freehold","64 Venner Road, London (SE26 5EL)","LEWISHAM","GREATER LONDON","GREATER LONDON","SE26 5EL","N","","64 VENNER ROAD RESIDENTS LIMITED","6959740","Limited Company or Public Limited Company","First Floor Flat, 64 Venner Road, Sydenham, London SE26 5EL","","","","","","","","","","","","","","","","","","","","","11-01-2010","N"
"40170","Freehold","26-27 Argyll Street, London","CITY OF WESTMINSTER","GREATER LONDON","GREATER LONDON","","N","","THE QUEEN'S MOST EXCELLENT MAJESTY IN RIGHT OF HER CROWN","","Corporate Body","1 St James's Market, London SW1Y 4AH","","","","","","","","","","","","","","","","","","","","","","N"
"40702","Freehold","23 Monmouth Street, London (WC2H 9DD)","CAMDEN","GREATER LONDON","GREATER LONDON","WC2H 9DD","N","","SHAFTESBURY COVENT GARDEN LIMITED","03154145","Limited Company or Public Limited Company","22 Ganton Street, Carnaby, London W1F 7FD","","","","","","","","","","","","","","","","","","","","","10-03-2005","N"
"41229","Freehold","75 Farringdon Road, London (EC1M 3HJQ)","CAMDEN","GREATER LONDON","GREATER LONDON","EC1M 3HJ","N","","BRITISH OVERSEAS BANK NOMINEES LIMITED","00220905","Limited Company or Public Limited Company","Nat West Bank Plc, 1st Floor, 250 Bishopsgate, London EC2M 4AA","Orchard Street Investment Management Llp, 16 New Burlington Place, London W1S 2HX","","W G T C NOMINEES LIMITED","01255218","Limited Company or Public Limited Company","Nat West Bank Plc, 1st Floor, 250 Bishopsgate, London EC2M 4AA","Orchard Street Investment Management Llp, 16 New Burlington Place, London W1S 2HX","","","","","","","","","","","","","","18-12-2017","N"
"41246","Freehold","78 Sumatra Road","CAMDEN","GREATER LONDON","GREATER LONDON","","N","","THE LONDON COUNTY COUNCIL","","Local Authority","The County Hall, Westminster Bridge, London SE1","","","","","","","","","","","","","","","","","","","","","08-09-1950","N"
"41299","Freehold","strips of land in Parnell Road","TOWER HAMLETS","GREATER LONDON","GREATER LONDON","","N","","THE COUNTY COUNCIL OF THE ADMINISTRATIVE COUNTY OF LONDON","","County Council","Spring Gardens, London","","","","","","","","","","","","","","","","","","","","","","N"
"41947","Freehold","11 Sinclair Gardens, London (W14 0AU)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","W14 0AU","N","","HOUGHTON HALL CO-OWNERSHIP LIMITED","","Limited Company or Public Limited Company","16 Doughty Street, London WC1","","","","","","","","","","","","","","","","","","","","","06-12-1971","N"
"42145","Freehold","42 Oxford Street, London (W1D 1BB)","CITY OF WESTMINSTER","GREATER LONDON","GREATER LONDON","W1D 1BB","N","","PONTEGADEA UK LTD","8680673","Limited Company or Public Limited Company","West End House, 11 Hills Place, London W1F 7SE","","","","","","","","","","","","","","","","","","","","","31-10-2017","N"
"58517","Freehold","38, 40, 40a, 40b, 40c, 40d, 42, 44, 46 part of 48, 50 Long Lane, London (SE1 4AU)","SOUTHWARK","GREATER LONDON","GREATER LONDON","SE1 4AU","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF SOUTHWARK","","Local Authority","160 Tooley Street, London SE1 2QH","PO Box 64529, London SE1P 5LX","","","","","","","","","","","","","","","","","","","","17-03-2005","N"
"58803","Freehold","6, 6A, 10 and 10A Hurst Street, London (SE24 0EG)","LAMBETH","GREATER LONDON","GREATER LONDON","SE24 0EG","N","","FARMWOOD INVESTMENTS LIMITED","","Limited Company or Public Limited Company","Hillside House, 2 Friern Park, London N12","","","","","","","","","","","","","","","","","","","","","02-05-1961","N"
"59032","Leasehold","36 Church Rise","LEWISHAM","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF LEWISHAM","","Local Authority","Lewisham Town Hall, Catford, London, SE6","","","","","","","","","","","","","","","","","","","","","31-07-1951","N"
"60030","Leasehold","158 Essex Road, (N1 8LY)","ISLINGTON","GREATER LONDON","GREATER LONDON","N1 8LY","N","","WEST LAYTON LIMITED","","Limited Company or Public Limited Company","West Layton House, 48/50 St. John Street, London EC1","","","","","","","","","","","","","","","","","","","","","01-08-1973","N"
"60081","Freehold","15 Fulham High Street, Fulham, (SW6 3JH)","HAMMERSMITH AND FULHAM","GREATER LONDON","GREATER LONDON","SW6 3JH","N","","YATONIC LIMITED","","Limited Company or Public Limited Company","64 Lillieshall Road, London SW4","","","","","","","","","","","","","","","","","","","","","27-11-1995","N"
"60301","Freehold","436 and 438 Commercial Road, Stepney","TOWER HAMLETS","GREATER LONDON","GREATER LONDON","","N","","THE MAYOR AND BURGESSES OF THE LONDON BOROUGH OF TOWER HAMLETS","","Local Authority","Mulberry Place, 5 Clove Crescent, London, E14 2BG","","","","","","","","","","","","","","","","","","","","","16-12-1991","N"
