Title Number,Tenure,Property Address,District,County,Region,Postcode,Multiple Address Indicator,Price Paid,Proprietor Name (1),Company Registration No. (1),Proprietorship Category (1),Country Incorporated (1),Proprietor (1) Address (1),Proprietor (1) Address (2),Proprietor (1) Address (3),Proprietor Name (2),Company Registration No. (2),Proprietorship Category (2),Country Incorporated (2),Proprietor (2) Address (1),Proprietor (2) Address (2),Proprietor (2) Address (3),Proprietor Name (3),Company Registration No. (3),Proprietorship Category (3),Country Incorporated (3),Proprietor (3) Address (1),Proprietor (3) Address (2),Proprietor (3) Address (3),Proprietor Name (4),Company Registration No. (4),Proprietorship Category (4),Country Incorporated (4),Proprietor (4) Address (1),Proprietor (4) Address (2),Proprietor (4) Address (3),Date Proprietor Added,Additional Proprietor Indicator
"K822183","Freehold","the site of a Gas Governor Station lying to the south of Alec Pemble Close, Kennington, Ashford","ASHFORD","KENT","SOUTH EAST","","N","","THE GAS TRANSPORTATION COMPANY LIMITED","","Limited Company or Public Limited Company","GUERNSEY","Woolpit Business Park, Woolpit, Bury St Edmunds, Suffolk IP30 9UQ","","","","","","","","","","","","","","","","","","","","","","","","20-02-2001","N"
"K823378","Leasehold","Flat 21, Chancellor House, Mount Ephraim, Tunbridge Wells (TN4 8BT)","TUNBRIDGE WELLS","KENT","SOUTH EAST","TN4 8BT","N","350000","CHESAM SERVICES LIMITED","","Limited Company or Public Limited Company","GUERNSEY","Richmond House, St Julians Avenue, St Peter Port, Guernsey, GY1 1GZ","","","","","","","","","","","","","","","","","","","","","","","","17-05-2016","N"
"K825270","Freehold","Land to the North and South of Gibbs Hill, Nettlestead, Maidstone","MAIDSTONE","KENT","SOUTH EAST","","N","","SOUTHERN QUEST (INTERNATIONAL) LIMITED","","Limited Company or Public Limited Company","GIBRALTAR","Kinnerton Place North, London SW1X 8EJ","5 New Street Square, London EC4A 3TW","","","","","","","","","","","","","","","","","","","","","","","22-05-2001","N"
"K826428","Freehold","land on the south side of Keycol Hill, Bobbing, Sittingbourne","SWALE","KENT","SOUTH EAST","","N","","CALDWELL TRADING LIMITED","092829C","Limited Company or Public Limited Company","ISLE OF MAN","6 Granville Court, Windsor Mount, Ramsey, Isle of Man, Im8 3ea","","","","","","","","","","","","","","","","","","","","","","","","26-05-2011","N"
"K829612","Leasehold","Land on the west side of Liphook Way, Allington, Maidstone","TONBRIDGE AND MALLING","KENT","SOUTH EAST","","N","","LOGISTICS 101 S.A.R.L.","","Corporate Body","LUXEMBOURG","2-4 rue Eugene Ruppert, L-2453, Luxembourg","","","","","","","","","","","","","","","","","","","","","","","","16-03-2018","N"
"K838632","Leasehold","Compass South, Compass Centre, Pembroke, Chatham Maritime, Chatham (ME4 4YH)","MEDWAY","MEDWAY","SOUTH EAST","ME4 4YH","N","","FWRE LIMITED","","Limited Company or Public Limited Company","ISLE OF MAN","IOMA House, Hope Street, Douglas, Isle Of Man, IM1 1AP","Cannon Place, 78 Cannon Street, London EC4N 6AF","","","","","","","","","","","","","","","","","","","","","","","12-10-2016","N"
"K838887","Leasehold","land and buildings adjoining Transfesa Road, Paddock Wood, Tonbridge","TUNBRIDGE WELLS","KENT","SOUTH EAST","","N","12499999","INDUSTRIALS UK LP","","Corporate Body","DELAWARE, U.S.A.","180 Great Portland Street, London W1W 5QZ","Two Snowhill, Birmingham B4 6WR","","","","","","","","","","","","","","","","","","","","","","","29-07-2015","N"
"K844241","Freehold","11 Chandos Road, Broadstairs (CT10 1QP)","THANET","KENT","SOUTH EAST","CT10 1QP","N","350000","TAMARELLA PROPERTIES LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","Marlborough Trust Company PO Box 19, Farnley House, La Charroterie, St Peter Port, Guernsey GY1 4NP","11 Chandos Road, Broadstairs, Kent CT10 1QP","","","","","","","","","","","","","","","","","","","","","","","17-02-2006","N"
"K846235","Freehold","land at Willow Avenue, Faversham","SWALE","KENT","SOUTH EAST","","N","","LETLEY GROUP SA","","Corporate Body","BAHAMAS","Tan Oast, Dairy Lane, Chainhurst, Tonbridge, Kent TN12 9SS","","","","","","","","","","","","","","","","","","","","","","","","16-10-2002","N"
"K850571","Freehold","land on the west side of Hale Oak Road, Weald, Sevenoaks (TN14 6NQ)","SEVENOAKS","KENT","SOUTH EAST","TN14 6NQ","N","","COLGRAIN LIMITED","","Limited Company or Public Limited Company","JERSEY","Le Bocage, La Rue Du Bocage, St Peter, Jersey, JE3 7AS","","","","","","","","","","","","","","","","","","","","","","","","03-03-2015","N"
"K856170","Leasehold","Flat 51a, 51 St Michaels Street, Folkestone, (CT20 1LS)","SHEPWAY","KENT","SOUTH EAST","CT20 1LS","N","77250","M F & L LIMITED","","Limited Company or Public Limited Company","ISLE OF MAN","Jubilee Buildings, 1st Floor, Victoria Street, Douglas, Isle Of  Man IM1 2SH","","","","","","","","","","","","","","","","","","","","","","","","29-07-2008","N"
"LA914295","Freehold","22 Winckley Square, Preston (PR1 3JJ)","PRESTON","LANCASHIRE","NORTH WEST","PR1 3JJ","N","","ABACUS LAND 4 LTD","","Limited Company or Public Limited Company","GUERNSEY","Third Floor, La Plaiderie Chambers, St Peter Port, Guernsey, GY1 1WG","","","","","","","","","","","","","","","","","","","","","","","","23-05-2016","N"
"LA946822","Freehold","22 Yorkshire Street, Morecambe (LA3 1QE)","LANCASTER","LANCASHIRE","NORTH WEST","LA3 1QE","N","9000","TRIWARD HOLDINGS LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","European House, Peel Road, Douglas, Isle of Man, IM1 5PZ","","","","","","","","","","","","","","","","","","","","","","","","21-04-2016","N"
"LA947490","Freehold","7 Kingsway, Great Harwood, Blackburn (BB6 7XA)","HYNDBURN","LANCASHIRE","NORTH WEST","BB6 7XA","N","","BALLYKELLY LIMITED","","Limited Company or Public Limited Company","ISLE OF MAN","22 Perwick Bay, Port St Mary, Isle of Man","","","","","","","","","","","","","","","","","","","","","","","","19-11-2003","N"
"LA949389","Freehold","Wavecrest, Hackensall Road, Knott End On Sea (FY6 0AZ)","WYRE","LANCASHIRE","NORTH WEST","FY6 0AZ","N","","BIFFIN LIMITED","","Limited Company or Public Limited Company","JERSEY","Fyfe Chambers, Third Floor, 105 West George Street, Glasgow G2 1PB","","","","","","","","","","","","","","","","","","","","","","","","18-12-2003","N"
"LAN14847","Leasehold","14 Weavers Mews, Darwen and parking space (BB3 1LU)","BLACKBURN WITH DARWEN","BLACKBURN WITH DARWEN","NORTH WEST","BB3 1LU","N","70000","DRUMSTONE LIMITED","","Limited Company or Public Limited Company","ISLE OF MAN","10 Borough Road, Darwen BB3 1PL","6th Floor Victory House, Prospect Hill, Douglas, Isle Of Man","","","","","","","","","","","","","","","","","","","","","","","10-12-2014","N"
"LAN21399","Leasehold","Unit B10, Leighton Hall, Leighton Street, Preston (PR1 8RU)","PRESTON","LANCASHIRE","NORTH WEST","PR1 8RU","N","97000","ROSE GARDEN RESOURCES LIMITED","","Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","1712 Tower 1, Times Square, 1 Matheson Street, Hong Kong","","","","","","","","","","","","","","","","","","","","","","","","05-11-2014","N"
"LAN22113","Freehold","land on the east side of West Strand Road, Preston","PRESTON","LANCASHIRE","NORTH WEST","","N","2791360","COLCASTOR A S.A.R.L","","Corporate Body","LUXEMBOURG","6A, Route De Treves, L-2633, Senningerberg, Luxembourg","","","","","","","","","","","","","","","","","","","","","","","","14-01-2016","N"
"LAN25851","Leasehold","The Prince Of Wales Public House, New Market Street, Chorley (PR7 1DB)","CHORLEY","LANCASHIRE","NORTH WEST","PR7 1DB","N","","STONEGATE PUB COMPANY LIMITED","FC029833","Limited Company or Public Limited Company","CAYMAN ISLANDS","Porter Tun House, 500 Capability Green, Luton LU1 3LU","","","","","","","","","","","","","","","","","","","","","","","","16-12-2013","N"
"LAN28855","Freehold","land forming part of Lee's Street, Bacup","ROSSENDALE","LANCASHIRE","NORTH WEST","","N","","SB CONSTRUCTION LIMITED","","Limited Company or Public Limited Company","ISLE OF MAN","26 Greenview Drive, Norden, Rochdale, Lancashire OL11 5YQ","","","","","","","","","","","","","","","","","","","","","","","","07-03-2006","N"
"LAN33063","Freehold","land on the south west side of Queensway, Lytham St Annes","FYLDE","LANCASHIRE","NORTH WEST","","N","","GREENHURST INVESTMENTS LIMITED","","Limited Company or Public Limited Company","SEYCHELLES","The Chancery, 58 Spring Gardens, Manchester M2 1EW","","","","","","","","","","","","","","","","","","","","","","","","25-07-2007","N"
"LAN41722","Freehold","land on the south east side of Barrowford House, Sollom Lock, Sollom (PR4 6HS)","CHORLEY","LANCASHIRE","NORTH WEST","PR4 6HS","N","","LILFORD 2005 LIMITED","","Limited Company or Public Limited Company","JERSEY","Durrell House, 28 New Street, St Helier, Jersey","Napthens Solicitors 7 Winckley Square, Preston, Lancashire PR1 3JD","Acland Bracewell Surveyors Limited, The Barrons, Church Road, Tarleton, Preston, Lancashire PR4 6UP","","","","","","","","","","","","","","","","","","","","","","09-11-2006","N"
"LAN42912","Freehold","Toppings Farm, Plox Brow, Tarleton (PR4 6HB)","WEST LANCASHIRE","LANCASHIRE","NORTH WEST","PR4 6HB","N","","LILFORD 2005 LIMITED","","Limited Company or Public Limited Company","JERSEY","Durrell House, 28 New Street, St Helier, Jersey","Napthens Solicitors 7 Winckley Square, Preston, Lancashire PR1 3JD","Acland Bracewell Surveyors Limited, The Barrons, Church Road, Tarleton, Preston, Lancashire PR4 6UP","","","","","","","","","","","","","","","","","","","","","","01-12-2006","N"
"LAN42933","Freehold","land on the west side of the River Douglas, Tarleton","WEST LANCASHIRE","LANCASHIRE","NORTH WEST","","N","","LILFORD 2005 LIMITED","","Limited Company or Public Limited Company","JERSEY","Durrell House, 28 New Street, St Helier, Jersey","Napthens Solicitors 7 Winckley Square, Preston, Lancashire PR1 3JD","Acland Bracewell Surveyors Limited, The Barrons, Church Road, Tarleton, Preston, Lancashire PR4 6UP","","","","","","","","","","","","","","","","","","","","","","01-12-2006","N"
